id,text,month,year
R_1QXxniNV3YpqUPq,It was about new vehicle,Aug,2024
R_3DhVOZ3PTKZkWgp,Yes I have seen commercials for ford,Aug,2024
R_5Ea54NwgY2tkvR6,buy a ford product,Aug,2024
R_1YEbWB9AKWFLJnK,largest employer in usa,Aug,2024
R_1co47Ec7FvuwRpO,Fords recall of F-150 vehicles,Aug,2024
R_61oCMRBLbqLJcv6,There are sales.,Aug,2024
R_1UhHzEcNWbdgIgh,New cars,Aug,2024
R_1PBzk5UpqDyFyTI,NONE,Aug,2024
R_6O22hNQBzxKT6An,Advertising for Ford,Aug,2024
R_6R2dgUyyOssmWn7,That there was a recall,Aug,2024
R_1OcylR8TO0W6p7b,Building new battery plant in Kentucky,Aug,2024
R_7CZLR90afog5Z7z,Ford motor company invent a enviroment friendly  new car,Aug,2024
R_7u299q4MAEsdKXT,size and suspension,Aug,2024
R_3eKmWplk8z1C7qT,That theynare makimg a new hesvy duty truck,Aug,2024
R_7r0H2VyJ8ihufRv,stock performance,Aug,2024
R_1rI7rJAeQNZEip6,Truck on sale,Aug,2024
R_7DuK1PZ5aGEZJoy,Don’t know,Aug,2024
R_6X5xxwgtHXXRbqN,Nothing,Aug,2024
R_7qOrDlPWCwDBXrr,Ford mustang ev version,Aug,2024
R_6m36KyWTT7eucFR,We like ford all american company,Aug,2024
R_3OCC8LO521YX16g,About the mustang ev,Aug,2024
R_1sICWzHgHOzEShH,A recall on pickup truck F150,Aug,2024
R_7kAQqQS46deiL4G,No,Aug,2024
R_3kcyE1zRdzYvKzf,Promoting sales on products,Aug,2024
R_7CCgrwStUQi257E,A sponser of the olympics,Aug,2024
R_72Kc8M8c3rUGPpo,Innovative technologies included in the latest vehicles,Aug,2024
R_5Uhc8NoraaDpqW1,They are venturing into EVs,Aug,2024
R_71tJ8eih89mIk0J,sales stable,Aug,2024
R_51jFOuYz0tbkHyS,About the new electric cars,Aug,2024
R_7DbUat7wDaZZKB0,Going electric,Aug,2024
R_6rSOBwRRrJVNM0F,Selling pick up trucks,Aug,2024
R_1QDl5poBpMDwL41,New cars coming,Aug,2024
R_7EUuLB9TI6pCI37,The 2025 Ford  Raptor,Aug,2024
R_5qswcXO13GEUbCo,There’s a new model of truck,Aug,2024
R_36Wx7gzoqb4P477,They close down one is there ev plants cant sell the trucks,Aug,2024
R_1hVXM8BW9uz5GPh,Lower production of EVs,Aug,2024
R_6HweXhAFT3NXNLa,I cant remember,Aug,2024
R_6IvBimizIknCtsl,The 2025 models coming out,Aug,2024
R_6P1XQoX0OpksPIZ,Was about the quality of the product,Aug,2024
R_1djyvYO9ReLS8BX,Data breaches/Selling data to insurance companies/Traffic incidents,Aug,2024
R_3IaZ7Oa90IYzWnC,Don’t remember,Aug,2024
R_3EcJIs0RKfpiyW8,It was a commercial I seen on TV,Aug,2024
R_3gtJYqhcLamicXj,new ev cars and trucks,Aug,2024
R_1ACHmundaa1Euat,It was about new Ford products,Aug,2024
R_5B96HUkaNE5baHr,It was launching new services in its dealership’s.,Aug,2024
R_3Qg9H1YIlnB38r6,Commercial about new vehicles,Aug,2024
R_1QQRxz3BhywVVgT,Commercial,Aug,2024
R_3IYi2COS1tGZvJa,It is very high quality and unique,Aug,2024
R_1ffK6zw7Q6LvSTQ,The new F250 trucks and what is changing in current year,Aug,2024
R_3pl6AclhYtIu52x,I saw an ad that they’re now making a New England specific truck model,Aug,2024
R_52UP2UlTbJGWnWS,I heard very good new and upgrade,Aug,2024
R_7ZAmNtvN3wFL8pb,New developments,Aug,2024
R_7D33bOW6FuIa3Yd,A commercial for one of their trucks,Aug,2024
R_5Gwc5qlcPoEczVv,Recalls for air bag,Aug,2024
R_1WvY5UcZHJr6xNf,It was a recall about a certain model that was not safe for consumers.,Aug,2024
R_320DJrK1On6ERmF,That they are continuing building performance cars,Aug,2024
R_5CEHdsUrE9ELcDS,Na,Aug,2024
R_6usqi0FMuZju7EG,ProMotion,Aug,2024
R_5dhhNedSNOUQKgP,Ford trucks and how they run off roads,Aug,2024
R_51oyFX2RzaHnR7j,Tv commercials,Aug,2024
R_7yPSD5r6X9q0DId,New cars,Aug,2024
R_6iKg0JinHD1lEhc,They have a new truck out,Aug,2024
