id,text,month,year,text_n,Sub_category,annotated_sub_category,Category,annotated_category
R_3Lxu2j5LG6EAjnj,How they plan on making a electric car one day,Aug,2024,How they plan on making a electric car one day.,Electric Vehicles,Electric Vehicles,Electrification,Electrification
R_6h5sHHiDmZ99CSZ,Ford new mustang that is all ev as well as other models going ev soon,Aug,2024,Ford new mustang that is all ev as well as other models going ev soon.,Electric Vehicles,Electric Vehicles,Electrification,Electrification
R_51jFOuYz0tbkHyS,About the new electric cars,Aug,2024,About the new electric cars.,Electric Vehicles,Electric Vehicles,Electrification,Electrification
R_3itFMMT5LzmSDwP,That they are making electric vehicles,Aug,2024,That they are making electric vehicles.,Electric Vehicles,Electric Vehicles,Electrification,Electrification
R_3WJn2gF2DX9AYbD,they are a leader in ev technology,Aug,2024,they are a leader in ev technology.,Electric Vehicles,Electric Vehicles,Electrification,Electrification
R_6TDC7HoyttyAP8R,Turning out electric cars,Aug,2024,Turning out electric cars.,Electric Vehicles,Electric Vehicles,Electrification,Electrification
R_7tf1CymZFsmB5zF,About there new evs,Aug,2024,About there new evs.,Electric Vehicles,Electric Vehicles,Electrification,Electrification
R_6aASPmWbJTkafPH,They were working on coming out with EV cars,Aug,2024,They were working on coming out with EV cars.,Electric Vehicles,Electric Vehicles,Electrification,Electrification
R_1jV6qG2cLghYIpm,that they are trying to have an all-electric fleet by 2030,Aug,2024,that they are trying to have an all-electric fleet by 2030.,Electric Vehicles,Electric Vehicles,Electrification,Electrification
R_6qfYvmZk1Kf4Jsx,They were discussing the issue related to electric cars,Aug,2024,They were discussing the issue related to electric cars.,Electric Vehicles,Electric Vehicles,Electrification,Electrification
R_34GUM76eu3xLa84,The news is that Ford has reduced producation of the F-150 lighting electric pickup truck.,Aug,2024,The news is that Ford has reduced producation of the F-150 lighting electric pickup truck.,Electric Vehicles,Electric Vehicles,Electrification,Electrification
R_5Uhc8NoraaDpqW1,They are venturing into EVs,Aug,2024,They are venturing into EVs.,Electric Vehicles,Electric Vehicles,Electrification,Electrification
R_5joCKJSSxU53NSW,I heard that people arent buying the new EVs they have built & recall on some vehicles,Aug,2024,I heard that people arent buying the new EVs they have built & recall on some vehicles.,Electric Vehicles,Electric Vehicles,Electrification,Electrification
R_6UKLd2kBhZHCZwZ,Ford is required by federal law to make more electric vehicles.,Aug,2024,Ford is required by federal law to make more electric vehicles.,Electric Vehicles,Electric Vehicles,Electrification,Electrification
R_63EmA8v8cVy9w5A,Building more electrical cars,Aug,2024,Building more electrical cars.,Electric Vehicles,Electric Vehicles,Electrification,Electrification
R_1hVXM8BW9uz5GPh,Lower production of EVs,Aug,2024,Lower production of EVs.,Electric Vehicles,Electric Vehicles,Electrification,Electrification
R_6wTAOKP1uDgZOOs,Their new EV vehicles,Aug,2024,Their new EV vehicles.,Electric Vehicles,Electric Vehicles,Electrification,Electrification
R_3SrIj2HC0CceB77,Coming out with th the all electric lightning truck.,Aug,2024,Coming out with th the all electric lightning truck.,Electric Vehicles,Electric Vehicles,Electrification,Electrification
R_7DbUat7wDaZZKB0,Going electric,Aug,2024,Going electric.,Electric Vehicles,Electric Vehicles,Electrification,Electrification
R_3t3xM96DEIR82di,They are making EVs,Aug,2024,They are making EVs.,Electric Vehicles,Electric Vehicles,Electrification,Electrification
R_6XbbAyHvqu0D7ui,It was Bout the success of the company as whole.,Aug,2024,It was Bout the success of the company as whole.,Financial Performance,Financial Performance,Organization feedback,Organization feedback
R_1VQpXywoa2LzL8F,Showing the current financing deal on lease,Aug,2024,Showing the current financing deal on lease.,Financial Performance,Financial Performance,Organization feedback,Organization feedback
R_6DJ2kTidK0w22aJ,multi-billion dollar losses in its EV program have resulted in reductions in that program with some increased spending to expand its gasoline and hybrid vehicle program,Aug,2024,multi-billion dollar losses in its EV program have resulted in reductions in that program with some increased spending to expand its gasoline and hybrid vehicle program.,Financial Performance,Financial Performance,Organization feedback,Organization feedback
R_3f3pDsVLwBLGlwM,Stock price drop,Aug,2024,Stock price drop.,Financial Performance,Financial Performance,Organization feedback,Organization feedback
R_3IZ6COQt2KHByjs,"Theyre losing much money on EVs, and have had many problems with expensive recalls.",Aug,2024,"Theyre losing much money on EVs, and have had many problems with expensive recalls.",Financial Performance,Financial Performance,Organization feedback,Organization feedback
R_6W20XJ4opVHDDP3,Stock prices drop,Aug,2024,Stock prices drop.,Financial Performance,Financial Performance,Organization feedback,Organization feedback
R_750qYQkJuzedZ6h,Ford is doing better,Aug,2024,Ford is doing better.,Financial Performance,Financial Performance,Organization feedback,Organization feedback
R_6ZuSqwA3FHmS8P7,I believe that the stock was headed towards a level decline.,Aug,2024,I believe that the stock was headed towards a level decline.,Financial Performance,Financial Performance,Organization feedback,Organization feedback
R_1FJuSpGHMgGChGN,The EV battery plants being behind schedule and SUVs not selling well,Aug,2024,The EV battery plants being behind schedule and SUVs not selling well.,Financial Performance,Financial Performance,Organization feedback,Organization feedback
R_1FnZNrJKOwLurf3,"Not good, problem to produce ev cars",Aug,2024,"Not good, problem to produce ev cars.",Financial Performance,Financial Performance,Organization feedback,Organization feedback
R_77sCi2XhuZNfx5H,It was about how the Biden Administration had caused Ford to lose over 4 billion dollars.,Aug,2024,It was about how the Biden Administration had caused Ford to lose over 4 billion dollars.,Financial Performance,Financial Performance,Organization feedback,Organization feedback
R_71tJ8eih89mIk0J,sales stable,Aug,2024,sales stable.,Financial Performance,Financial Performance,Organization feedback,Organization feedback
R_7r0H2VyJ8ihufRv,stock performance,Aug,2024,stock performance.,Financial Performance,Financial Performance,Organization feedback,Organization feedback
R_1p3WEs0xAiSVxcJ,Just thier general  earning,Aug,2024,Just thier general  earning.,Financial Performance,Financial Performance,Organization feedback,Organization feedback
R_77DS1Cd9dJ0mFZY,Investors in the Ford Motor Company are trying to contact lawyers before early October to discuss their rights.,Aug,2024,Investors in the Ford Motor Company are trying to contact lawyers before early October to discuss their rights.,Financial Performance,Financial Performance,Organization feedback,Organization feedback
R_7QMVhbNE6cTrA6f,its overstock of electric vehicles and chip shortages,Aug,2024,its overstock of electric vehicles and chip shortages.,Financial Performance,Financial Performance,Organization feedback,Organization feedback
R_5pPNpjf9svqbM0R,Earnings reported,Aug,2024,Earnings reported.,Financial Performance,Financial Performance,Organization feedback,Organization feedback
R_5dJOPkq9gIb26aZ,Electric vehicles were to expensive to produce and sell,Aug,2024,Electric vehicles were to expensive to produce and sell.,Financial Performance,Financial Performance,Organization feedback,Organization feedback
R_5Q5y4iLHM5bYaSP,There was saying that they might lay off people because of the slow production because are not buying electric cars made from Ford Motors.,Aug,2024,There was saying that they might lay off people because of the slow production because are not buying electric cars made from Ford Motors.,Financial Performance,Financial Performance,Organization feedback,Organization feedback
R_5gSvEEfNqMO0YHn,The success of the company and how it’s making money and its employees are doing well.,Aug,2024,The success of the company and how it’s making money and its employees are doing well.,Financial Performance,Financial Performance,Organization feedback,Organization feedback
R_5E9daVSrbccgkSJ,It was on tv showing newest trucks on sale.,Aug,2024,It was on tv showing newest trucks on sale.,New Vehicles,New Vehicles,Product related,Product related
R_1F68rE1oHqhQwSd,New electric Ford,Aug,2024,New electric Ford.,New Vehicles,New Vehicles,Product related,Product related
R_37dLaaIFJ0BpWGd,There new trucks,Aug,2024,There new trucks.,New Vehicles,New Vehicles,Product related,Product related
R_7Hn6nWVEXbrNw4v,Advertising the New ford fi50,Aug,2024,Advertising the New ford fi50.,New Vehicles,New Vehicles,Product related,Product related
R_3Aw1SC9WcApJinf,they have a new line of vehicles,Aug,2024,they have a new line of vehicles.,New Vehicles,New Vehicles,Product related,Product related
R_3PWtiRgRw9OZ3ot,New car,Aug,2024,New car.,New Vehicles,New Vehicles,Product related,Product related
R_43v7mnylnZ6Hzyx,The ad was about ford suv,Aug,2024,The ad was about ford suv.,New Vehicles,New Vehicles,Product related,Product related
R_7Tpl7RoLc6r0okZ,about their new EV trucks,Aug,2024,about their new EV trucks.,New Vehicles,New Vehicles,Product related,Product related
R_5qswcXO13GEUbCo,There’s a new model of truck,Aug,2024,There’s a new model of truck.,New Vehicles,New Vehicles,Product related,Product related
R_6kNPXUM9UIaWyTy,Yes,Aug,2024,Yes.,New Vehicles,New Vehicles,Product related,Product related
R_6WD5ejKLa46dunf,f150 truck is leader in its field.,Aug,2024,f150 truck is leader in its field.,New Vehicles,New Vehicles,Product related,Product related
